id,text,label,Coordinates,,,,,,,,,,,,,
3,รถชนกันก่อนข้ามสะพานคลอง1,,"(None, None)",,,,,,,,,,,,,
5,ตอนนี้ท้ายแถวติดมาถึงคลอง 4 แล้วค่ะ ติดมาก,,"(None, None)",,,,,,,,,,,,,
8,ติดตั้งแต่คลอง4 ตอน6:40 จนตอนนี้ 7:30ยังไม่ถึงคลอง2เลยค่ะ,,"(None, None)",,,,,,,,,,,,,
13,เมื่อวานก็อุบัติเหตุหน้าคลอง 1 ขับกันยังไงครับเนี่ยย ชนกัน 2 วันติด,,"(None, None)",,,,,,,,,,,,,
16,ติดหนักมากค่ะ หนีไปเลียบคลองหนักกว่าเดิม,,"(None, None)",,,,,,,,,,,,,
17,ติดมากๆยันคลอง​สี่,,"(None, None)",,,,,,,,,,,,,
22,ติดยาวเลยคลอง4 แล้วค่ะ,,"(None, None)",,,,,,,,,,,,,
29,เสร็จแล้วน่าจะดีขึ้นครับ ให้ดีย้ายป้ายรถเมล์ไปตรงที่เป็นป้ายชั่วคราวน่าจะดีนะ ..รถออกเมืองเอกคงคล่องตัวขึ้นเยอะเลย,,"(None, None)",,,,,,,,,,,,,
31,ว่าแล้วทำไมวันนี้รถติดแปลกๆ ติดแบบไม่ขยับ พอมาดูในกลุ่ม มีรถชนกันตรงคลอง1 นั่นเอง,,"(None, None)",,,,,,,,,,,,,
43,สายคลองวันนี้เกิดอะไรขึ้นคะติดผิดปกติ เหมือนมีอุบัติเหตุเลย ขอบคุณนะคะ,,"(None, None)",,,,,,,,,,,,,
46,งานเข้า8โมงแต่ตอนนี้ยังไม่ถึงสะพานคลอง2เบย5555,,"(None, None)",,,,,,,,,,,,,
48,ตอนนี้หม้อแปลงระเบิดตรงสะพานกรีนสปอต แสงไฟวาบสูงเลยย,,"(None, None)",,,,,,,,,,,,,
49,เมื่อออกจากบ้าน 6.30ถึงฟิว07.10 ออกจากฟิวเยียบยาวเลย,,"(None, None)",,,,,,,,,,,,,
51,ออกมา 07ใ30 จากสะพานแดงไม่ติดเท่าไร ไม่เห็นอุบัติเหตุไม่รู้ว่าชนช่วงกิ่โมง,,"(None, None)",,,,,,,,,,,,,
54,การจราจร 8.30 น คลอง1 รถมากแต่ไหลเรื่อยๆครับ ขออนุญาต รายงาน ตื่นมาดูกล้องร้านพอดี,,"(None, None)",,,,,,,,,,,,,
55,ตอนนี้ คล่องตัวยังกะวันนี้เป็นวันหยุดเลยครับ ไม่น่าเชื่อ ว่านิ่คือวันจันทร์สิ้นเดือน เส้นเลียบคลองก็โล่งดีเกินคาด 555,,"(None, None)",,,,,,,,,,,,,
59,2.อุบัติเหตุ จุดกลับรถเทยิ่น จราจรเร่งทำแผนที่เกิดเหตุ เคลื่อนย้ายรถ เปิดการจราจร ตามปกติ,,"(None, None)",,,,,,,,,,,,,
61,4.เพลิงไหม้ สายไฟ หน้าคาซ่าวิล,,"(None, None)",,,,,,,,,,,,,
64,รังสิตก้อติด...555,,"(None, None)",,,,,,,,,,,,,
69,ปทุมโล่งมาก,,"(None, None)",,,,,,,,,,,,,
100,เส้นคลอง จะติดตรงนอร์ทเค้ารับปริญยาครับ เส้นนอกไปอยุธยาจะติดเพราะมีซ่อมถนน,,"(None, None)",,,,,,,,,,,,,
102,ผ่ายไปเหมือนกันน่าจะติดรับปริญญาที่นอร์ธค่ะ แต่ตอนนี้ไหลเรื่อยๆปกติแล้วค่ะ,,"(None, None)",,,,,,,,,,,,,
111,รถตู้จอดเสียบนสะพาน 19: 10 นาที,,"(None, None)",,,,,,,,,,,,,
119,ทั้งขาเข้าและขาออกจากเมืองเอกรถติดมากนะครับ ที่ปากทางป้ายรถเมล์มีการก่อสร้างหนักอยู่ เห็นทำอยู่หลายวันแล้ว,,"(None, None)",,,,,,,,,,,,,
131,รังสิตคืดตำนานพอกัน,,"(None, None)",,,,,,,,,,,,,
142,ติดประจำพอเลยทางเข้าฟิวก็โล่งยาว เหมือนวิ่งขวามายาวแล้วชลอเปลี่ยนเลนไม่ขึ้นโทลย์เวย์ก็ออกซ้ายเข้าฟิวรึ,,"(None, None)",,,,,,,,,,,,,
144,ติดหนักเลยค่ะ ถึงหน้าเมืองนวนครเลย,,"(None, None)",,,,,,,,,,,,,
145,หน้า ม.กรุง ชนกันบ่อยมากตรงนี้ เลนนี้จะชอบเบรกกระทันหันกันตลอดเลย,,"(None, None)",,,,,,,,,,,,,
151,ฝั่งสายคลอง : เลียบคลองได้ทุกคนลอง แต่ พหลฯไวสุด,,"(None, None)",,,,,,,,,,,,,
154,จอดตั้งแต่พระอาทิตยังไม่ขึ้น....จนเวลานี้ อู่จอดหรืออู่ซ่อมของ ขสมก ก็ห่างไปไม่ถึง1กิโล.. หรือเขายังไม่ได้เวลาทำงานต้องรอ 8โมงไปแล้ว,,"(None, None)",,,,,,,,,,,,,
157,จริงๆเริ่มติดตั้งแต่ 7:20 มาส่งลูก คปอ ขับมาทำงานยุธยา เริ่มติดตั้งแต่ตีนสะพาน ก็ทนเอา,,"(None, None)",,,,,,,,,,,,,
165,คลอง5 ธัญญะ ขาออก รถติดหนักนะจ้าพี่ๆ,,"(None, None)",,,,,,,,,,,,,
168,โถ่วววว...มาขยัน6โมงเช้าวันจันทร์ ชั่งคิดได้เนาะ ก็ว่ารถติดแต่เช้า ลาดยางซะงั้น#คลอง2อีกแระ,,"(None, None)",,,,,,,,,,,,,
169,ทำไมถึงทำวันเสาร์อาทิตย์ ไม่ได้ น่าจะกระทบการจราจรน้อยกว่าวัน จ-ศ,,"(None, None)",,,,,,,,,,,,,
172,ปิดไฟแดงตรงคลอง5บ้านเด็กอ่อน สำหรับผมมองว่ารถไม่ติดดีนะคับ ไปกลับใต้สะพาน รถจะหนีค่าผ่านทางมอเตอร์เวย์มากลับรถตรงนี้เยอะอยู่คับ ทำให้รถเส้นนี้ชอบติด,,"(None, None)",,,,,,,,,,,,,
175,ปิดไฟแดงดี แต่ปิดถนนทำยาวๆนี่ซิ ติดยับบบบ,,"(None, None)",,,,,,,,,,,,,
177,ประเทศรังสิตยามเย็น ไม่รู้ว่าหลังพระอาทิตย์ตกแล้ว ไฟทางเส้นนี้ติดหรือยัง?,,"(None, None)",,,,,,,,,,,,,
178,เป็นบริเวณเสี่ยงต่ออุบัติเหตุ หรือทำให้เกิดปัญหารถติด เช่น ใกล้ทางแยก ทาง ... สุขสันต์วันปีใหม่ 2567 Happy New Year 2024!!!,,"(None, None)",,,,,,,,,,,,,
188,15/2/67 เกิดอุบัติเหตุ แต่เช้าเลย มอเตอร์เวย์คลอง 5 รถเริ่มติดแล้วค่ะ,,"(None, None)",,,,,,,,,,,,,
193,ติดได้ทุกวันแม้แต่ไม่ขุดถนน ตั้งแต่เซียร์ยันฟิวเจอร์,,"(None, None)",,,,,,OBJECTID *,Shape *,id,text,label,Coordinates,Latitude,Longitude
195,ณ.สะพานไปเซียร์ป่านนี้ยังติดเพราะเริ่มปิดเป็นช่องทางจ้า,,"(None, None)",,,,,,,,,,,,,
197,ปิดช่องทางการจราจรเหลือเลนเดียว บางช่วงค่ะ โครงการวางสายไฟลงใต้ดินค่ะ,,"(None, None)",,,,,,,,,,,,,
6,Point,12,เส้นนครนายก อุบัติเหตุ จะมีในแต่ละวันร่วม10เหตุ เวลาที่เกิดเหตุ คือเช้าและเย็น และกลางคืนครับ,<Null>,"(14.2038387, 101.2268773)",14.203838,101.22687,,,,,,,,,
10,Point,19,ออก6.30ทุกวันไม่ติดมีวันนี้ผิดปกติเพราะรถชนกันที่ถนนหน้าสะพานแดงเลยติดคะ,<Null>,"(17.4220407, 101.6157773)",17.42204,101.61577,,,,,,,,,
13,Point,27,รถติดยัน ก่อนถึงคลอง 4 เลย แน่นถนนไปหมด มอไซร์ยังซอกแซกไม่ได้,<Null>,"(17.4220407, 101.6157773)",17.42204,101.61577,,,,,,,,,
14,Point,32,ตอนนี้สายคลองติดอยู่ ไม่ทราบว่าติดอะไรคะ งงเลย,<Null>,"(17.4220407, 101.6157773)",17.42204,101.61577,,,,,,,,,
25,Point,71,เมื่อวานออกเดินทาง ช่วง1 ทุ่ม สายเอเชีย โล่งมาก ติดเป็นบางช่วงเท่านั้นแต่ก็แทบจะไม่ค่อยติดเรย,<Null>,"(34.047863, 100.6196553)",34.047863,100.61965,,,,,,,,,
48,Point,106,รังสิตขาออกก่อนถึง ม.กรุงเทพ รถติดหน่อยนะครับ พ่วงหลังที่บรรทุกรถพัง กำลังเอารถลง,<Null>,"(13.7563309, 100.5017651)",13.75633,100.50176,,,,,,,,,
50,Point,108,ขาออกธัญญะบุรีรถติดหนักมากค่ะ รับปริญญานอนกรุงเทพหรือเปล่า,<Null>,"(13.7753103, 100.7388515)",13.77531,100.73885,,,,,,,,,
55,Point,116,รถบรรทุกรถยนต์ พ่วงติดพื้น ไม่สามารถเคลื่อนย้ายได้หน้า b condo แถวพลัมรังสิตมอกรุงเทพ รถติดยาวโปรดหลีกเลี่ยงเส้นทาง,<Null>,"(13.6636996, 100.6603595)",13.663699,100.66035,,,,,,,,,
58,Point,128,ใครพอทราบมั้ยค่ะ เส้นธัญญะ เลียบคลอง 2 มีกำหนดทำเสร็จเมื่อไหร่ รถติดไม่ไหว,<Null>,"(13.8605227, 100.7079691)",13.860522,100.70796,,,,,,,,,
60,Point,139,อุบัติเหตุถนนพหลโยธินขาเข้าฝั่งตรงข้ามม. กรุงเทพ..เกิดอุบัติเหตุรถชนกันประมาณ 7 คัน คาดว่ารถคงติดหนักในอีกไม่ช้าใช้ทางเลื่ยงได้ก็เลี่ยงกันเลยนะครับ,<Null>,"(13.6896066, 100.8301047)",13.689606,100.8301,,,,,,,,,
65,Point,152,พหลไวสุดแล้วครับ อย่าคิดจะมาคลองสอง คลองสาม รถติดมากๆ,<Null>,"(13.476659, 100.8874865)",13.476659,100.88748,,,,,,,,,
69,Point,159,ไม่ใช่แค่อนุสรณ์สถาน ยาวไปถึงตรงข้ามซอย 39 ไม่ใช่แค่ซอย39 ไปถึงตลาดเซฟวันแล้ว,<Null>,"(14.9574611, 102.0440512)",14.957461,102.04405,,,,,,,,,
73,Point,164,เกิดอุบัติเหตุถนนพหลโยธินช่วงก่อนถึงโรงกษาปครับรถติดครับ,<Null>,"(16.585353, 99.4370604)",16.585353,99.43706,,,,,,,,,
82,Point,182,ฝนตกหนัก” ถล่ม กทม.-รังสิต ถนนหลายเส้นทางจมน้ำ “รถติด” หนักแทบไม่ขยับ ปทุมธานีสาหัสหนัก,<Null>,"(13.7563309, 100.5017651)",13.75633,100.50176,,,,,,,,,
86,Point,187,พระนครศรีอยุธยา-ประชาชาชนเดินทางกลับภาคเหนือเลี่ยงรถติดช่วงรังสิตประตูน้ำพระอินทร์ หันไปใช้ถนนใช้ ถ.สายเอเชีย และทางหลวงหมายเลข 347 บางปะหัน-ปทุมธานี,<Null>,"(20.058794, 99.9437136)",20.058794,99.94371,,,,,,,,,
89,Point,191,ถนนพหลโยธิน ขาเข้า บริเวณใต้ต่างระดับบางขัน มีอุบัติเหตุชนกัน 4 คัน และมีผู้ได้รับบาดเจ็บ 3 ราย และเสียชีวิต 1 ราย ในช่องทางหลัก กีดขวางเลนขวา และเลนกลาง รถติดหนักมาก ท้ายแถวสะสมอยู่ที่จุดกลับรถวันครู ส่วนฝั่งขาออก ติดขัดด้วย เพราะชะลอตัวดู มีท้ายแถวสะสมตรงข้าม รพ.ภัทร-ธนบุรี #รายงานจราจร #รถติด #อุบัติเหตุ #FM91,<Null>,"(16.585353, 99.4370604)",16.585353,99.43706,,,,,,,,,
91,Point,194,ยังไม่ชินอีกหรอ ขนาดสะพานแดงไม่มีไฟแดงยังติดทุกวัน เช้าๆค่ำๆนึกว่าสุขุมวิท,<Null>,"(12.7820176, 101.6472306)",12.782017,101.64723,,,,,,,,,
